產品,諮詢類別,,,,,
,,,,,,
第1層,第2層,第3層,第4層,原本的Q(接下來全部要藏在換句話說),答案層(修改),
卡片,,,,問答集,,
蔓越莓益生菌,功能,主要功能,,為什麼要吃蔓越莓益生菌?,"蔓越莓益生菌添加了多種呵護女性雙道健康的成份,及BACO17倍活菌,有效維持女性雙道菌叢平衡,提升舒適感受〪  
●Cran-Max®專利蔓越莓萃取物: 獨家專利Bio-Shield®技術,能保護花青素,通過胃酸,緩慢釋放長達12-16小時,延長效果,且經過人體實驗證實,能有效幫助女性健康維持〪  
●STP4+GFU3專利複合乳酸菌: 共9種乳酸菌,具專利包埋技術,耐胃酸膽鹼,利用天然溫和方式,改善微生態平衡,維持女性雙道舒適,且經實驗證實其效用〪  
●BACO17專利倍活菌: 具澳洲功效專利,能調節消化道機能,並經實驗證實,比起其他品牌,擁有100倍存活率,能耐胃酸(pH2.0)､耐膽鹼､耐熱,順利抵達消化道〪",
,,吃多久有效,,蔓越莓益生菌吃多久才會有效果?,"每個人的體質､新陳代謝率不同,身體狀況也會不同,建議每天定時補充1包,持續30天,並做好日常清潔及多喝水,就能逐漸體驗到產品的效果〪",
,成分,菌種與菌數,,"蔓越莓益生菌的菌數有多少?
蔓越莓益生菌使用哪些菌種?","蔓越莓益生菌每包提供出廠菌數20億的活菌,共有9種菌,分別為:  
BACO17專利倍活菌､乾酪乳桿菌､鼠李糖乳桿菌 ､羅伊氏乳桿菌､瑞士乳桿菌､德氏乳桿菌乳酸亞種､植物乳桿菌､發酵乳桿菌､副乾酪乳桿菌",
,,主要配方,,蔓越莓益生菌的主要配方有什麼?,"蔓越莓益生菌添加了多種呵護女性雙道健康的成份,及BACO17倍活菌,有效維持女性雙道菌叢平衡,提升舒適感受〪  
●Cran-Max®專利蔓越莓萃取物: 獨家專利Bio-Shield®技術,能保護花青素,通過胃酸,緩慢釋放長達12-16小時,延長效果,且經過人體實驗證實,能有效幫助女性健康維持〪  
●STP4+GFU3專利複合乳酸菌: 共9種乳酸菌,具專利包埋技術,耐胃酸膽鹼,利用天然溫和方式,改善微生態平衡,維持女性雙道舒適,且經實驗證實其效用〪  
●BACO17專利倍活菌: 具澳洲功效專利,能調節消化道機能,並經實驗證實,比起其他品牌,擁有100倍存活率,能耐胃酸(pH2.0)､耐膽鹼､耐熱,順利抵達消化道〪",
,,Cran-Max®蔓越莓,,"Cran-Max®蔓越莓萃取物是什麼?
Cran-Max®蔓越莓有含花青素嗎?功能是什麼?","●Cran-Max®專利蔓越莓萃取物為34:1高濃縮比例萃取而得,等同於34公斤新鮮蔓越莓可濃縮成1公斤的原料〪  
●由於花青素在體內代謝速度快,獨家專利Bio-Shield®技術能保護花青素,通過胃酸,緩慢釋放長達12-16小時,延長效果〪  
●經人體實驗證實,能有效幫助女性健康維持,每天1包蔓越莓一生菌即達到實驗有效劑量,給妳一整天的私密呵護〪",
,,BACO17倍活菌,,"BACO17倍活菌是什麼?
BACO17倍活菌有什麼特別?","●威德獨家BACO17倍活菌為芽孢乳酸菌,能因應環境變化,產生對抗惡劣環境的保護罩,於適當環境時,萌發營養細胞,發揮乳酸菌的功能〪    
●具澳洲功效專利,能調節消化道機能,並經實驗證實,比起其他品牌,擁有100倍存活率,能耐胃酸(pH2.0)､耐膽鹼､耐熱,順利抵達消化道〪",
,,STP4複合菌,,STP4專利複合菌是什麼?,"●STP4專利複合菌,由6株乳酸菌組合而成,分別為鼠李糖乳桿菌､瑞士乳桿菌､德氏乳桿菌乳酸亞種､植物乳桿菌､發酵乳桿菌､副乾酪乳桿菌〪  
●具專利包埋技術,能耐胃酸膽鹼,利用天然溫和方式,改善微生態平衡,維持女性雙道舒適,且經實驗證實其效用〪",
,,GFU3複合菌,,GFU3專利複合菌是什麼?,"●GFU3專利複合菌,由3株乳酸菌組合而成,分別為乾酪乳桿菌､鼠李糖乳桿菌 ､羅伊氏乳桿菌〪  
●具專利包埋技術,能耐胃酸膽鹼,利用天然溫和方式,改善微生態平衡,維持女性雙道舒適,且經人體實驗證實其效用〪",
,,益生質,,"益生質的功能
益生菌有添加益生質?
有什麼益生質?","●蔓越莓益生菌添加了菊苣纖維(菊糖)作為益生質〪    
●益生質是能被益生菌利用的營養物質,幫助延長益生菌的活性,協助消化道菌叢平衡,也可促進蠕動幫助排便,使益生菌的保健效果更加提升〪",
,,過敏原,,"蔓越莓益生菌有含大豆成分嗎?
蔓越莓益生菌含有過敏原嗎?",蔓越莓益生菌含有大豆､牛奶及其製品〪,
,包裝與劑型,Sachet包,,"蔓越莓益生菌為什麼要用這種包裝?
蔓越莓益生菌會不會很難撕開? 
蔓越莓益生菌很大包嗎? 打開的時候會不會灑出來?","蔓越莓益生菌每包3g,採獨立包裝,可以幫助內容物不易變質,特殊的外觀設計,更符合現代人使用習慣,開口處特殊切口設計,在打開包裝時,更不會像傳統鋁箔包一樣灑的到處都是〪且方便攜帶,隨時吃〪",
,,專利細顆粒,,蔓越莓益生菌顆粒劑型的優勢,"專利細顆粒,直接吃溶於口,好吸收,不嗆粉,不用配水〪",
,安全認證,SGS檢驗,,"蔓越莓益生菌做過什麼檢驗?
蔓越莓益生菌有經過SGS檢驗嗎?
蔓越莓益生菌安全嗎?",檢驗報告(圖),https://sbcbiotech.sharepoint.com/:i:/s/-AI/EQDPTaEemi9Kt9CUqky6JFcBKf7YX55qpUBgBV7oV_FiZA?e=svqLz1
,"食用與
保存方式",食用方法,,"什麼時間食用蔓越莓益生菌最好?
空腹可以吃蔓越莓益生菌嗎?
蔓越莓益生菌一天要吃幾包?","●蔓越莓益生菌每包添加500mg的專利Cran-Max®蔓越莓濃縮粉,每日1包即達實驗有效劑量〪  
●餐前餐後皆可補充〪  
●天然蔓越莓風味,較酸澀,若胃較敏感者,建議餐後配水補充〪",
